county,stname,ctyname,variable,value,year.label
000,Maryland,Maryland,census2010pop,5773552,2010
001,Maryland,Allegany County,census2010pop,75087,2010
003,Maryland,Anne Arundel County,census2010pop,537656,2010
005,Maryland,Baltimore County,census2010pop,805029,2010
009,Maryland,Calvert County,census2010pop,88737,2010
011,Maryland,Caroline County,census2010pop,33066,2010
013,Maryland,Carroll County,census2010pop,167134,2010
015,Maryland,Cecil County,census2010pop,101108,2010
017,Maryland,Charles County,census2010pop,146551,2010
019,Maryland,Dorchester County,census2010pop,32618,2010
021,Maryland,Frederick County,census2010pop,233385,2010
023,Maryland,Garrett County,census2010pop,30097,2010
025,Maryland,Harford County,census2010pop,244826,2010
027,Maryland,Howard County,census2010pop,287085,2010
029,Maryland,Kent County,census2010pop,20197,2010
031,Maryland,Montgomery County,census2010pop,971777,2010
033,Maryland,Prince George's County,census2010pop,863420,2010
035,Maryland,Queen Anne's County,census2010pop,47798,2010
037,Maryland,St. Mary's County,census2010pop,105151,2010
039,Maryland,Somerset County,census2010pop,26470,2010
041,Maryland,Talbot County,census2010pop,37782,2010
043,Maryland,Washington County,census2010pop,147430,2010
045,Maryland,Wicomico County,census2010pop,98733,2010
047,Maryland,Worcester County,census2010pop,51454,2010
510,Maryland,Baltimore city,census2010pop,620961,2010
000,Maryland,Maryland,estimatesbase2010,5773798,2010
001,Maryland,Allegany County,estimatesbase2010,75047,2010
003,Maryland,Anne Arundel County,estimatesbase2010,537631,2010
005,Maryland,Baltimore County,estimatesbase2010,805229,2010
009,Maryland,Calvert County,estimatesbase2010,88739,2010
011,Maryland,Caroline County,estimatesbase2010,33078,2010
013,Maryland,Carroll County,estimatesbase2010,167142,2010
015,Maryland,Cecil County,estimatesbase2010,101102,2010
017,Maryland,Charles County,estimatesbase2010,146565,2010
019,Maryland,Dorchester County,estimatesbase2010,32623,2010
021,Maryland,Frederick County,estimatesbase2010,233391,2010
023,Maryland,Garrett County,estimatesbase2010,30139,2010
025,Maryland,Harford County,estimatesbase2010,244826,2010
027,Maryland,Howard County,estimatesbase2010,287123,2010
029,Maryland,Kent County,estimatesbase2010,20195,2010
031,Maryland,Montgomery County,estimatesbase2010,971964,2010
033,Maryland,Prince George's County,estimatesbase2010,863349,2010
035,Maryland,Queen Anne's County,estimatesbase2010,47789,2010
037,Maryland,St. Mary's County,estimatesbase2010,105143,2010
039,Maryland,Somerset County,estimatesbase2010,26470,2010
041,Maryland,Talbot County,estimatesbase2010,37777,2010
043,Maryland,Washington County,estimatesbase2010,147430,2010
045,Maryland,Wicomico County,estimatesbase2010,98733,2010
047,Maryland,Worcester County,estimatesbase2010,51451,2010
510,Maryland,Baltimore city,estimatesbase2010,620862,2010
000,Maryland,Maryland,popestimate2010,5788642,2010
001,Maryland,Allegany County,popestimate2010,74966,2010
003,Maryland,Anne Arundel County,popestimate2010,539277,2010
005,Maryland,Baltimore County,popestimate2010,806560,2010
