stname,ctyname,county,label,tot.pop,year.label
Maryland,Maryland,000,estimatesbase2000,5296647,2000
Maryland,Allegany County,001,estimatesbase2000,74909,2000
Maryland,Anne Arundel County,003,estimatesbase2000,489677,2000
Maryland,Baltimore County,005,estimatesbase2000,753947,2000
Maryland,Calvert County,009,estimatesbase2000,74556,2000
Maryland,Caroline County,011,estimatesbase2000,29735,2000
Maryland,Carroll County,013,estimatesbase2000,150881,2000
Maryland,Cecil County,015,estimatesbase2000,85964,2000
Maryland,Charles County,017,estimatesbase2000,120524,2000
Maryland,Dorchester County,019,estimatesbase2000,30671,2000
Maryland,Frederick County,021,estimatesbase2000,195277,2000
Maryland,Garrett County,023,estimatesbase2000,29852,2000
Maryland,Harford County,025,estimatesbase2000,218914,2000
Maryland,Howard County,027,estimatesbase2000,247876,2000
Maryland,Kent County,029,estimatesbase2000,19201,2000
Maryland,Montgomery County,031,estimatesbase2000,873874,2000
Maryland,Prince George's County,033,estimatesbase2000,801091,2000
Maryland,Queen Anne's County,035,estimatesbase2000,40580,2000
Maryland,St. Mary's County,037,estimatesbase2000,86196,2000
Maryland,Somerset County,039,estimatesbase2000,24746,2000
Maryland,Talbot County,041,estimatesbase2000,33806,2000
Maryland,Washington County,043,estimatesbase2000,131911,2000
Maryland,Wicomico County,045,estimatesbase2000,84638,2000
Maryland,Worcester County,047,estimatesbase2000,46559,2000
Maryland,Baltimore city,510,estimatesbase2000,651262,2000
Maryland,Maryland,000,popestimate2000,5311034,2000
Maryland,Allegany County,001,popestimate2000,74804,2000
Maryland,Anne Arundel County,003,popestimate2000,491670,2000
Maryland,Baltimore County,005,popestimate2000,755598,2000
Maryland,Calvert County,009,popestimate2000,75118,2000
Maryland,Caroline County,011,popestimate2000,29773,2000
Maryland,Carroll County,013,popestimate2000,151454,2000
Maryland,Cecil County,015,popestimate2000,86448,2000
Maryland,Charles County,017,popestimate2000,121229,2000
Maryland,Dorchester County,019,popestimate2000,30581,2000
Maryland,Frederick County,021,popestimate2000,196563,2000
Maryland,Garrett County,023,popestimate2000,29838,2000
Maryland,Harford County,025,popestimate2000,219797,2000
Maryland,Howard County,027,popestimate2000,249590,2000
Maryland,Kent County,029,popestimate2000,19252,2000
Maryland,Montgomery County,031,popestimate2000,877478,2000
Maryland,Prince George's County,033,popestimate2000,803111,2000
Maryland,Queen Anne's County,035,popestimate2000,40763,2000
Maryland,St. Mary's County,037,popestimate2000,86498,2000
Maryland,Somerset County,039,popestimate2000,24710,2000
Maryland,Talbot County,041,popestimate2000,33895,2000
Maryland,Washington County,043,popestimate2000,132051,2000
Maryland,Wicomico County,045,popestimate2000,84899,2000
Maryland,Worcester County,047,popestimate2000,46828,2000
Maryland,Baltimore city,510,popestimate2000,649086,2000
Maryland,Maryland,000,popestimate2001,5374691,2001
Maryland,Allegany County,001,popestimate2001,74525,2001
Maryland,Anne Arundel County,003,popestimate2001,498559,2001
Maryland,Baltimore County,005,popestimate2001,762925,2001
Maryland,Calvert County,009,popestimate2001,77218,2001
Maryland,Caroline County,011,popestimate2001,29814,2001
Maryland,Carroll County,013,popestimate2001,154037,2001
Maryland,Cecil County,015,popestimate2001,88228,2001
Maryland,Charles County,017,popestimate2001,124745,2001
Maryland,Dorchester County,019,popestimate2001,30647,2001
Maryland,Frederick County,021,popestimate2001,202315,2001
Maryland,Garrett County,023,popestimate2001,29812,2001
Maryland,Harford County,025,popestimate2001,222753,2001
Maryland,Howard County,027,popestimate2001,255211,2001
Maryland,Kent County,029,popestimate2001,19330,2001
Maryland,Montgomery County,031,popestimate2001,891764,2001
Maryland,Prince George's County,033,popestimate2001,817360,2001
Maryland,Queen Anne's County,035,popestimate2001,41253,2001
Maryland,St. Mary's County,037,popestimate2001,87455,2001
Maryland,Somerset County,039,popestimate2001,25157,2001
Maryland,Talbot County,041,popestimate2001,34231,2001
Maryland,Washington County,043,popestimate2001,133093,2001
Maryland,Wicomico County,045,popestimate2001,85637,2001
Maryland,Worcester County,047,popestimate2001,47889,2001
Maryland,Baltimore city,510,popestimate2001,640733,2001
Maryland,Maryland,000,popestimate2002,5440389,2002
Maryland,Allegany County,001,popestimate2002,74204,2002
Maryland,Anne Arundel County,003,popestimate2002,504884,2002
Maryland,Baltimore County,005,popestimate2002,770147,2002
Maryland,Calvert County,009,popestimate2002,80153,2002
Maryland,Caroline County,011,popestimate2002,30054,2002
Maryland,Carroll County,013,popestimate2002,157930,2002
Maryland,Cecil County,015,popestimate2002,90061,2002
Maryland,Charles County,017,popestimate2002,128079,2002
Maryland,Dorchester County,019,popestimate2002,30526,2002
Maryland,Frederick County,021,popestimate2002,209194,2002
Maryland,Garrett County,023,popestimate2002,29987,2002
Maryland,Harford County,025,popestimate2002,227369,2002
Maryland,Howard County,027,popestimate2002,259532,2002
Maryland,Kent County,029,popestimate2002,19443,2002
Maryland,Montgomery County,031,popestimate2002,903140,2002
Maryland,Prince George's County,033,popestimate2002,828893,2002
Maryland,Queen Anne's County,035,popestimate2002,42524,2002
Maryland,St. Mary's County,037,popestimate2002,89819,2002
Maryland,Somerset County,039,popestimate2002,25445,2002
Maryland,Talbot County,041,popestimate2002,34628,2002
Maryland,Washington County,043,popestimate2002,134831,2002
Maryland,Wicomico County,045,popestimate2002,86679,2002
Maryland,Worcester County,047,popestimate2002,48752,2002
Maryland,Baltimore city,510,popestimate2002,634115,2002
Maryland,Maryland,000,popestimate2003,5496269,2003
Maryland,Allegany County,001,popestimate2003,74076,2003
Maryland,Anne Arundel County,003,popestimate2003,507769,2003
Maryland,Baltimore County,005,popestimate2003,777756,2003
Maryland,Calvert County,009,popestimate2003,83007,2003
Maryland,Caroline County,011,popestimate2003,30553,2003
Maryland,Carroll County,013,popestimate2003,161389,2003
Maryland,Cecil County,015,popestimate2003,92444,2003
Maryland,Charles County,017,popestimate2003,131942,2003
Maryland,Dorchester County,019,popestimate2003,30628,2003
Maryland,Frederick County,021,popestimate2003,213827,2003
Maryland,Garrett County,023,popestimate2003,30182,2003
Maryland,Harford County,025,popestimate2003,231411,2003
Maryland,Howard County,027,popestimate2003,263186,2003
Maryland,Kent County,029,popestimate2003,19505,2003
Maryland,Montgomery County,031,popestimate2003,910498,2003
Maryland,Prince George's County,033,popestimate2003,837648,2003
Maryland,Queen Anne's County,035,popestimate2003,43688,2003
Maryland,St. Mary's County,037,popestimate2003,92333,2003
Maryland,Somerset County,039,popestimate2003,25541,2003
Maryland,Talbot County,041,popestimate2003,34994,2003
Maryland,Washington County,043,popestimate2003,136872,2003
Maryland,Wicomico County,045,popestimate2003,88463,2003
Maryland,Worcester County,047,popestimate2003,49524,2003
Maryland,Baltimore city,510,popestimate2003,629033,2003
Maryland,Maryland,000,popestimate2004,5546935,2004
Maryland,Allegany County,001,popestimate2004,74408,2004
Maryland,Anne Arundel County,003,popestimate2004,513259,2004
Maryland,Baltimore County,005,popestimate2004,784371,2004
Maryland,Calvert County,009,popestimate2004,84928,2004
Maryland,Caroline County,011,popestimate2004,30653,2004
Maryland,Carroll County,013,popestimate2004,163915,2004
Maryland,Cecil County,015,popestimate2004,94809,2004
Maryland,Charles County,017,popestimate2004,135601,2004
Maryland,Dorchester County,019,popestimate2004,31086,2004
Maryland,Frederick County,021,popestimate2004,217776,2004
Maryland,Garrett County,023,popestimate2004,30147,2004
Maryland,Harford County,025,popestimate2004,234849,2004
Maryland,Howard County,027,popestimate2004,265919,2004
Maryland,Kent County,029,popestimate2004,19513,2004
Maryland,Montgomery County,031,popestimate2004,914991,2004
Maryland,Prince George's County,033,popestimate2004,845950,2004
Maryland,Queen Anne's County,035,popestimate2004,44411,2004
Maryland,St. Mary's County,037,popestimate2004,94900,2004
Maryland,Somerset County,039,popestimate2004,25807,2004
Maryland,Talbot County,041,popestimate2004,35793,2004
Maryland,Washington County,043,popestimate2004,139423,2004
