stname,ctyname,county,label,tot.pop,year.label
Maryland,Maryland,000,census2000pop,5296486,2000
Maryland,Allegany County,001,census2000pop,74930,2000
Maryland,Anne Arundel County,003,census2000pop,489656,2000
Maryland,Baltimore County,005,census2000pop,754292,2000
Maryland,Calvert County,009,census2000pop,74563,2000
Maryland,Caroline County,011,census2000pop,29772,2000
Maryland,Carroll County,013,census2000pop,150897,2000
Maryland,Cecil County,015,census2000pop,85951,2000
Maryland,Charles County,017,census2000pop,120546,2000
Maryland,Dorchester County,019,census2000pop,30674,2000
Maryland,Frederick County,021,census2000pop,195277,2000
Maryland,Garrett County,023,census2000pop,29846,2000
Maryland,Harford County,025,census2000pop,218590,2000
Maryland,Howard County,027,census2000pop,247842,2000
Maryland,Kent County,029,census2000pop,19197,2000
Maryland,Montgomery County,031,census2000pop,873341,2000
Maryland,Prince George's County,033,census2000pop,801515,2000
Maryland,Queen Anne's County,035,census2000pop,40563,2000
Maryland,St. Mary's County,037,census2000pop,86211,2000
Maryland,Somerset County,039,census2000pop,24747,2000
Maryland,Talbot County,041,census2000pop,33812,2000
Maryland,Washington County,043,census2000pop,131923,2000
Maryland,Wicomico County,045,census2000pop,84644,2000
Maryland,Worcester County,047,census2000pop,46543,2000
Maryland,Baltimore city,510,census2000pop,651154,2000
Maryland,Maryland,000,estimatesbase2000,5296647,2000
Maryland,Allegany County,001,estimatesbase2000,74909,2000
Maryland,Anne Arundel County,003,estimatesbase2000,489677,2000
Maryland,Baltimore County,005,estimatesbase2000,753947,2000
Maryland,Calvert County,009,estimatesbase2000,74556,2000
Maryland,Caroline County,011,estimatesbase2000,29735,2000
Maryland,Carroll County,013,estimatesbase2000,150881,2000
Maryland,Cecil County,015,estimatesbase2000,85964,2000
Maryland,Charles County,017,estimatesbase2000,120524,2000
Maryland,Dorchester County,019,estimatesbase2000,30671,2000
Maryland,Frederick County,021,estimatesbase2000,195277,2000
Maryland,Garrett County,023,estimatesbase2000,29852,2000
Maryland,Harford County,025,estimatesbase2000,218914,2000
